Model,Feature Set,Accuracy,Sensitivity,Specificity,ROC AUC
LogisticRegression,Binary - All features,0.9020095187731358,0.9050542005420056,0.8940439560439561,0.9516846540992884
RandomForest,Binary - All features,0.9249074563722898,0.924810298102981,0.9200439560439561,0.976300961910718
LogisticRegression,Binary - Top 10 features,0.9021152829190904,0.860609756097561,0.9686153846153847,0.9681063760088151
RandomForest,Binary - Top 10 features,0.9217345319936541,0.929810298102981,0.9031355311355311,0.9748896631823462
